Population_N,Mean_Throughput_TPS,Throughput_Std,99th_Percentile_Latency_ms,Latency_p99_Std,Adaptation_Time_T_adapt_Epochs,Adaptation_Time_Std,Minimum_Preserved_DE,Lyapunov_Dissipation_c
16,14370.7,1399.0,58.34,0.1,1.0,0.0,0.9999,0.0395
64,58036.3,2051.7,58.18,0.04,1.0,0.0,1.0,0.034
256,232690.8,5684.7,58.09,0.03,1.0,0.0,1.0,0.034
1024,923045.7,8778.8,58.05,0.01,1.0,0.0,1.0,0.034
4096,3698952.8,17845.5,58.02,0.01,1.0,0.0,1.0,0.034
