Byzantine_Fraction_f,ADG_Capture_Prob_Pcap,ADG_Fork_Rate_Pct,PBFT_Fork_Rate_Pct,Flat_DAO_Capture_Prob_Pcap
0.0%,0.0,0.0,0.0,0.0
5.0%,0.0,0.0,0.0,0.1333
10.0%,0.0,0.0,0.0,0.2
15.0%,0.0,0.0,0.0,0.3333
20.0%,0.0,0.0,0.0,0.4333
25.0%,0.0,0.0,10.0,0.5333
30.0%,0.0,0.0,36.7,0.6333
33.0% (BFT Limit),0.0,0.0,0.0,0.7
35.0%,0.0,0.0,100.0,0.7333
40.0%,0.0,10.0,100.0,0.9
