Epoch,Governance_Pressure_Gp,Decentralization_Entropy_DE,Top_f_Coalition_Share,Gini_Coefficient,Lyapunov_Energy_V,TPS,Latency_ms
1,0.0693,1.0,0.328125,0.0,0.00240127,119895.03,52.958
2,0.066892,1.0,0.328125,0.0,0.00223725,120127.51,52.812
3,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.989
4,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.906
5,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.077
6,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.024
7,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.948
8,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.26
9,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.925
10,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.232
11,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.96
12,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.071
13,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.038
14,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.072
15,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.028
16,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.903
17,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.99
18,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.847
19,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.991
20,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.077
21,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.985
22,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.034
23,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.117
24,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.916
25,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.071
26,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.962
27,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.984
28,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.867
29,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.845
30,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.209
31,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.044
32,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.935
33,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.03
34,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.948
35,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.935
36,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.924
37,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.01
38,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.933
39,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.085
40,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.161
41,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.079
42,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.937
43,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.037
44,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.914
45,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.918
46,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.022
47,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.03
48,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.926
49,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.972
50,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.015
51,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.043
52,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.838
53,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.0
54,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.948
55,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.989
56,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.958
57,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.936
58,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.233
59,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.035
60,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.091
61,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.145
62,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.98
63,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.964
64,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.962
65,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.941
66,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.884
67,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.061
68,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.937
69,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.111
70,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.05
71,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.907
72,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.995
73,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.748
74,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.056
75,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.034
76,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.062
77,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.093
78,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.952
79,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.872
80,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.932
81,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.977
82,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.955
83,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.181
84,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.027
85,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.077
86,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.847
87,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.975
88,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.004
89,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.968
90,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.138
91,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.949
92,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,52.8
93,0.066193,1.0,0.328125,0.0,0.00219077,120195.24,53.199
