Epoch,Governance_Pressure_Gp,Decentralization_Entropy_DE,Top_f_Coalition_Share,Gini_Coefficient,Lyapunov_Energy_V,TPS,Latency_ms
1,0.068886,1.0,0.328125,0.0,0.00237265,123746.12,53.216
2,0.066671,1.0,0.328125,0.0,0.00222249,123966.96,52.909
3,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,52.928
4,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,53.058
5,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,52.996
6,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,52.93
7,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,53.057
8,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,53.075
9,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,52.89
10,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,53.101
11,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,53.025
12,0.317839,1.0,0.328125,0.0,0.05051068,106322.35,56.768
13,0.366163,1.0,0.328225,0.00017662,0.06703785,104204.61,57.464
14,0.400075,1.0,0.328225,0.00016841,0.08003003,102891.56,58.087
15,0.400075,1.0,0.328225,0.00016851,0.08003003,102891.56,58.043
16,0.400075,1.0,0.328225,0.00016864,0.08003003,102891.56,57.971
17,0.400075,1.0,0.328225,0.00016882,0.08003003,102891.56,58.03
18,0.400075,1.0,0.328225,0.00016903,0.08003003,102891.56,58.014
19,0.400075,1.0,0.328225,0.00016891,0.08003003,102891.56,58.058
20,0.400075,1.0,0.328225,0.00016931,0.08003003,102891.56,57.954
21,0.400075,1.0,0.328225,0.00016895,0.08003003,102891.56,57.992
22,0.26547,1.0,0.328125,0.0,0.03523711,108991.88,56.034
23,0.227518,1.0,0.328125,0.0,0.02588231,111206.08,55.48
24,0.222334,1.0,0.328125,0.0,0.0247161,111528.62,55.434
25,0.215783,1.0,0.328125,0.0,0.02328109,111943.39,55.349
26,0.207668,1.0,0.328125,0.0,0.02156296,112468.62,55.162
27,0.197858,1.0,0.328125,0.0,0.01957387,113120.87,54.979
28,0.186343,1.0,0.328125,0.0,0.01736182,113911.38,54.69
29,0.173284,1.0,0.328125,0.0,0.0150137,114841.54,54.736
30,0.159041,1.0,0.328125,0.0,0.01264709,115898.46,54.207
31,0.144153,1.0,0.328125,0.0,0.01039003,117052.66,54.127
32,0.129264,1.0,0.328125,0.0,0.00835464,118259.59,54.136
33,0.115022,1.0,0.328125,0.0,0.00661499,119465.72,53.814
34,0.101963,1.0,0.328125,0.0,0.00519823,120617.8,53.397
35,0.090448,1.0,0.328125,0.0,0.00409042,121671.82,53.292
36,0.080638,1.0,0.328125,0.0,0.00325125,122598.94,53.245
37,0.072523,1.0,0.328125,0.0,0.0026298,123386.76,53.076
38,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,52.894
39,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,52.886
40,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,53.038
41,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,53.126
42,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,52.917
43,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,52.944
44,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,52.924
45,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,53.003
46,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,52.995
47,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,52.892
48,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,53.046
49,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,53.036
50,0.065972,1.0,0.328125,0.0,0.00217617,124036.87,52.971
