Epoch,Governance_Pressure_Gp,Decentralization_Entropy_DE,Top_f_Coalition_Share,Gini_Coefficient,Lyapunov_Energy_V,TPS,Latency_ms
1,0.069221,1.0,0.328125,0.0,0.00239579,117241.26,53.038
2,0.066911,1.0,0.328125,0.0,0.00223856,117459.27,53.211
3,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.873
4,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.987
5,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.952
6,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.861
7,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.025
8,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.938
9,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.129
10,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.077
11,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.946
12,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.991
13,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.963
14,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.844
15,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.913
16,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.882
17,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.932
18,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.094
19,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.872
20,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.169
21,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.009
22,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.027
23,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.967
24,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.917
25,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.129
26,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.1
27,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.985
28,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.01
29,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.928
30,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.953
31,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.142
32,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.947
33,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.021
34,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.01
35,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.959
36,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.934
37,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.86
38,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.963
39,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.025
40,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.853
41,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.976
42,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.887
43,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.984
44,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.129
45,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.899
46,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.184
47,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.24
48,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.094
49,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.802
50,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.96
51,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.002
52,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.035
53,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.952
54,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.005
55,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.999
56,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.944
57,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.884
58,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.165
59,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.944
60,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.827
61,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.021
62,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.937
63,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.914
64,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.885
65,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.93
66,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.879
67,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.96
68,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.031
69,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.964
70,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.18
71,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.955
72,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.987
73,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.072
74,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.963
75,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.029
76,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.97
77,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.112
78,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.951
79,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.032
80,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.004
81,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.95
82,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.118
83,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.086
84,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.984
85,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.098
86,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.863
87,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.12
88,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.952
89,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.964
90,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.968
91,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.828
92,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.92
93,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.031
94,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.004
95,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.087
96,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.977
97,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.007
98,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.059
99,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.023
100,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.047
101,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.984
102,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.062
103,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.033
104,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.782
105,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.952
106,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.832
107,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.089
108,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.002
109,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.915
110,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.105
111,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.953
112,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.833
113,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.031
114,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.936
115,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.921
116,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.835
117,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.937
118,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.002
119,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.036
120,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.959
121,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.135
122,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.937
123,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.953
124,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.001
125,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.939
126,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.943
127,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.019
128,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.072
129,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.96
130,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.072
131,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.92
132,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.892
133,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.875
134,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.919
135,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.924
136,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.896
137,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.105
138,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.906
139,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.975
140,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.054
141,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.07
142,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.021
143,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.064
144,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.984
145,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.093
146,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.955
147,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.144
148,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.863
149,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.029
150,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.105
151,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.121
152,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.044
153,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.058
154,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.973
155,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.192
156,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.081
157,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.012
158,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.03
159,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.966
160,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.182
161,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.983
162,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.012
163,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.017
164,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.939
165,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.959
166,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.05
167,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.097
168,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.131
169,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.071
170,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,53.095
171,0.066179,1.0,0.328125,0.0,0.00218986,117528.66,52.922
