Execution_Scale_T,Mean_Throughput_TPS,Throughput_Std,Throughput_Variance,Finality_Latency_Mean_ms,Latency_Std_ms,Latency_Variance,Mean_Gini_Index,Min_Preserved_DE,Final_Lyapunov_Energy
50,117343.0,8205.6,67300000.0,54.43,1.9,3.6,3.054393e-05,1.0,0.00218
100,126125.8,7000.1,49000000.0,53.69,1.52,2.3,1.534055e-05,1.0,0.00218
1000,123682.9,4731.3,22400000.0,53.26,1.1,1.21,8.267351e-06,1.0,0.00217
5000,122776.7,2137.2,4570000.0,53.04,0.51,0.26,1.642654e-06,1.0,0.00218
20000,117472.7,1026.0,1050000.0,53.01,0.27,0.07,4.083033e-07,1.0,0.00219
100000,120183.8,469.8,221000.0,53.0,0.14,0.02,8.254941e-08,1.0,0.00219
