Epoch,Governance_Pressure_Gp,Decentralization_Entropy_DE,Top_f_Coalition_Share,Gini_Coefficient,Lyapunov_Energy_V,TPS,Latency_ms
1,0.068625,1.0,0.328125,0.0,0.00235471,122753.07,52.927
2,0.06667,1.0,0.328125,0.0,0.00222243,122946.44,53.037
3,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.027
4,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.028
5,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.972
6,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.238
7,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.916
8,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.988
9,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.075
10,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.024
11,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.04
12,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.893
13,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.1
14,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.052
15,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.019
16,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.003
17,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.009
18,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.945
19,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.977
20,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.058
21,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.022
22,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.136
23,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.002
24,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.024
25,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.926
26,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.859
27,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.99
28,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.968
29,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.961
30,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.952
31,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.933
32,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.865
33,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.131
34,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.005
35,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.989
36,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.773
37,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.979
38,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.894
39,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.058
40,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.009
41,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.89
42,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.892
43,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.934
44,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.907
45,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.041
46,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.115
47,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.036
48,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.041
49,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.002
50,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.072
51,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.945
52,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.888
53,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.023
54,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.005
55,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.92
56,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.99
57,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.934
58,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.135
59,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.004
60,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.097
61,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.011
62,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.04
63,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.998
64,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.894
65,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.93
66,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.993
67,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.739
68,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.874
69,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.839
70,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.942
71,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.031
72,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.005
73,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.105
74,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.002
75,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.082
76,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.006
77,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.104
78,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.995
79,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.936
80,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.918
81,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.997
82,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.025
83,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.99
84,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.048
85,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.028
86,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.849
87,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.181
88,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.046
89,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.938
90,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.004
91,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.967
92,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.085
93,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.033
94,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.911
95,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.982
96,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.135
97,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.089
98,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.81
99,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.873
100,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.982
101,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.019
102,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.117
103,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.036
104,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.045
105,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.922
106,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.093
107,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.969
108,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.01
109,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.914
110,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.925
111,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.951
112,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.87
113,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.993
114,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.129
115,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.874
116,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.976
117,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.961
118,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.022
119,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.986
120,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.001
121,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.049
122,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.803
123,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,53.062
124,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.942
125,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.9
126,0.06602,1.0,0.328125,0.0,0.00217935,123010.92,52.967
